Poem,Meaning
"Lit with strange carpentry magic — they build time-shares in her head. They carvenames deep in wood, erect beams of metal to hold upthe invincible defense of a bad history. They mournwhat’s subjective. They are shutters closed.Sometimes I imagine such men in flip-flopswith fat towels draped over confident shoulders.I imagine they all live in Texas, and findSouth Padre too hot, and then I imagine them blamingdiversity for everything. Here, in the middle of grief,we pout to the rhythm of their sentences.Suns hiss in their dreams. Soon such critics will meetdaily for prayers. The Pharisees identify the guilty woman.They are gathering sticks for a witch burning. Curanderalit with the fire of sighs, casts spells, burns sage,sweats in a lodge, her own prayers flaming.","The poem explores the suffocating nature of rigid, exclusionary thinking fueled by nostalgia and prejudiced judgment, ultimately leading to destructive outcomes."
"Even though it’s May & the ice cream truckparked outside my apartment is somehow certain,I have a hard time believing winter is somehow,all of a sudden, over — the worst one of my life,the woman at the bank tells me. Though I’d like to be,it’s impossible to be prepared for everything.Even the mundane hum of my phone catches meoff guard today. Every voice that says my nameis a voice I don’t think I could possibly leave(it’s unfair to not ask for the things you need)even though I think about it often, even thoughleaving is a train headed somewhere I’d probably hate.Crossing Lyndale to meet a friend for coffeeI have to maneuver around a hearse that pulled too farinto the crosswalk. It’s empty. Perhaps spring is here.Perhaps it will all be worth it. Even though I kneweven then it was worth it, staying, I mean.Even now, there is someone, somehow, waiting for me.","Persistent grief and a fragile hope intertwine, suggesting the enduring struggle to accept loss while anticipating an uncertain future."
"I’d like to assume from my April birthday, I quickened the womb on the 4th of July. If you suffered as I a sternly fought tendency to endless dependency you’d know why.","This poignant reflection explores the intertwined nature of birth, trauma, and a deeply ingrained need for protection stemming from early experiences."
You are aland I can’t stand leavingand can’t not.My party shipis pulling out.We all havehats. I try totoot some notesyou’ll understandbut this was notour instrumentor plan.,"A profound sense of inescapable loss and resignation permeates the piece, highlighting a surrender to an unwanted departure."
The fog comes on little cat feet. It sits looking over harbor and city on silent haunches and then moves on.,"Ephemeral beauty and tranquility briefly envelop the world before vanishing as subtly and unexpectedly as a gentle, passing mist."
"Then there came again and touched me one like the appearance of a man, and he strengthened me—Daniel 10:18febrile body I woke into: nightsweats, stink of the toil of living:  where hands could not bear to approach me, the young man fingeredlay upon me, was himself a cool sponge, drew my perspiration to his lips ice-chips he held in his teeth, he pushed small bergs into my mouthcaressed the skeletal arms I’ve hidden in long sleeves kissed neck and chest, belly rotten with pudgy organs, thick-set fleshhe pressed against me, cock on cock and tongue against tongue saw his reflection in my marshy eyes and did not flinch such weakness held, sustained by this capable stroke, boatswain of my crossingI take the death I’m moored to, announced as a measureless promontory and bob in the river like a bloated corpse, blue lips, vacant gazeI let the water fill my lungs until they rip their festive piñatas because the one who comes to gather me, capricious angel has a voice that affirms me rising when this fever abatesFor Haines Eason","A desperate reclamation of self emerges through an unexpected connection, offering solace and ultimately accepting inevitable mortality’s release."
"“Saturday’s child must work for a living.”“I’m moving from Grief  Street.Taxes are high herethough the mortgage’s cheap.The house is well built.With stuff to protect, thatmattered to me,the security.These things that I mind,you know, aren’t mine.I mind minding them.They weigh on my mind.I don’t mind them well.I haven’t got the knackof  kindly minding.I say Take them backbut you never do.When I throw them outit may frighten youand maybe me too.                 Maybeit will empty metoo emptilyand keep me hereasleep, at seaunder the guilt quilt,under the you tree.”","Lingering sorrow and possessions burden a solitary figure, highlighting the struggle to relinquish the past and find peace within an unyielding present."
"Human reason is beautiful and invincible.No bars, no barbed wire, no pulping of books,No sentence of banishment can prevail against it.It establishes the universal ideas in language,And guides our hand so we write Truth and JusticeWith capital letters, lie and oppression with small.It puts what should be above things as they are,Is an enemy of despair and a friend of hope.It does not know Jew from Greek or slave from master,Giving us the estate of the world to manage.It saves austere and transparent phrasesFrom the filthy discord of tortured words.It says that everything is new under the sun,Opens the congealed fist of the past.Beautiful and very young are Philo-SophiaAnd poetry, her ally in the service of the good.As late as yesterday Nature celebrated their birth,The news was brought to the mountains by a unicorn and an echo.Their friendship will be glorious, their time has no limit.Their enemies have delivered themselves to destruction.Berkeley, 1968","Reason represents enduring optimism and liberation, perpetually striving for truth and justice against all forms of constraint or deceit."
"I was stretched out on the couch, about to doze off, when I imagined a small figure asleep on a couch identical to mine. “Wake up, little man, wake up,” I cried. “The one you’re waiting for is rising from the sea, wrapped in spume, and soon will come ashore. Beneath her feet the melancholy garden will turn bright green and the breezes will be light as babies’ breath. Wake up, before this creature of the deep is gone and everything goes blank as sleep.” How hard I try to wake the little man, how hard he sleeps. And the one who rose from the sea, her moment gone, how hard she has become—how hard those burning eyes, that burning hair.","Lost love’s desperate plea for remembrance, a futile attempt to recapture a fleeting, beautiful connection before it vanishes entirely."
"Wheel of sorrow, centerless.Voices, sad without cause,slope upward, expiring on grave summits.   Mournfulness of muddy playgrounds,   raw smell of rubbers and wrapped lunches   when little girls stand in a circle singing   of windows and of lovers.Hearing them, no one could tellwhy they sing sadly, but there is in their voices   the pathos of all handed-down garments   hanging loosely on small bodies.","Persistent, inexplicable sorrow reflects an inherited sadness carried through generations, symbolized by fragile beauty and lost innocence."
"He crawls through the cracksof my stone foundation, sly and sleek asI tempt him with food. He stays out of habit; I cookout of love for things that move. We grow accustomed to each other’strails and smells, the skins we’ve shed along the long, long roadof rubbing each other smooth. Till all the skins we’ve shed lie sparklinglike so many stones in this desert land. I scoop him up in my handand eat him.","A poignant exploration of acceptance, comfort, and ultimately, the inevitable cycle of life and consumption within a desolate landscape."
"If thou must love me, let it be for nought Except for love's sake only. Do not say I love her for her smile ... her look ... her way Of speaking gently, ... for a trick of thought That falls in well with mine, and certes brought A sense of pleasant ease on such a day'— For these things in themselves, Belovèd, may Be changed, or change for thee,—and love, so wrought, May be unwrought so. Neither love me for Thine own dear pity's wiping my cheeks dry,— A creature might forget to weep, who bore Thy comfort long, and lose thy love thereby! But love me for love's sake, that evermore Thou may'st love on, through love's eternity.","True love transcends superficial affections, existing solely as a boundless, enduring commitment rather than dependent on transient qualities or perceived needs."
"First there was the earth in my mouth. It was there like a running stream, the July fever sweating the delirium of August, and the green buckling under the sun. The taste of sick dust ran in the currents of saliva which I heaved up and tried to picture when all the people would curse their own stinking guts and die. No. I am not wishing that everyone should die. Nor am I wishing that everyone should be still. Only I am squeezing out the steam in me.","A visceral, solitary experience of intense suffering and a yearning for release from an overwhelming, chaotic world."
"Downhill I came, hungry, and yet not starved; Cold, yet had heat within me that was proof Against the North wind; tired, yet so that rest Had seemed the sweetest thing under a roof. Then at the inn I had food, fire, and rest, Knowing how hungry, cold, and tired was I. All of the night was quite barred out except An owl’s cry, a most melancholy cry Shaken out long and clear upon the hill, No merry note, nor cause of merriment, But one telling me plain what I escaped And others could not, that night, as in I went. And salted was my food, and my repose, Salted and sobered, too, by the bird’s voice Speaking for all who lay under the stars, Soldiers and poor, unable to rejoice.","The poem explores profound solitude and acceptance of a harsh reality, revealing a poignant awareness of life's inequalities and fleeting moments of peace."
"I am the last woman off of the planethat has crashed in a cornfield near Philly,picking through hot metalfor my rucksack and diaper bag.No black box, no fuselage,just sistergirl pilot wiping soot from her eyes,happy to be alive. Her dreadlockswill hold the smoke for weeks.All the white passengers bailed outbefore impact, so certain a sistercouldn’t navigate the crash. O gender.O race. O ye of little faith.Here we are in the cornfield, bruised and dirty but alive.I invite sistergirl pilot home for dinnerat my parents’, for my mother’s roast chickenwith gravy and rice, to celebrate.","Resilience blooms from unexpected survival, offering a defiant celebration of life against ingrained prejudice and doubt."
